TaskName,ParticipantPublicID,EventIndex,Response,Question,prePost,cond
iOS-Savage questions,FF_1_a,15,27,trust,1,mus
iOS-Savage questions,FF_1_b,13,2,closeness,1,mus
iOS-Savage questions,FF_1_b,12,20,connection,1,mus
iOS-Savage questions,FF_1_b,5,47,like,1,mus
iOS-Savage questions,FF_1_b,16,8,similarity,1,mus
iOS-Savage questions,FF_1_b,9,27,trust,1,mus
iOS-Savage questions,FF_2_a,12,1,closeness,1,silent
iOS-Savage questions,FF_2_a,5,48,connection,1,silent
iOS-Savage questions,FF_2_a,16,48,like,1,silent
iOS-Savage questions,FF_2_a,11,18,similarity,1,silent
iOS-Savage questions,FF_2_a,8,26,trust,1,silent
iOS-Savage questions,FF_2_b,3,1,closeness,1,silent
iOS-Savage questions,FF_2_b,10,54,connection,1,silent
iOS-Savage questions,FF_2_b,7,64,like,1,silent
iOS-Savage questions,FF_2_b,13,35,similarity,1,silent
iOS-Savage questions,FF_2_b,16,58,trust,1,silent
iOS-Savage questions,FF_3_a,6,1,closeness,1,mus
iOS-Savage questions,FF_3_a,5,68,connection,1,mus
iOS-Savage questions,FF_3_a,12,92,like,1,mus
iOS-Savage questions,FF_3_a,15,66,similarity,1,mus
iOS-Savage questions,FF_3_a,9,84,trust,1,mus
iOS-Savage questions,FF_3_b,9,1,closeness,1,mus
iOS-Savage questions,FF_3_b,12,51,connection,1,mus
iOS-Savage questions,FF_3_b,15,63,like,1,mus
iOS-Savage questions,FF_3_b,5,22,similarity,1,mus
iOS-Savage questions,FF_3_b,8,33,trust,1,mus
iOS-Savage questions,FF_4_a,12,4,closeness,1,silent
iOS-Savage questions,FF_4_a,5,71,connection,1,silent
iOS-Savage questions,FF_4_a,8,63,like,1,silent
iOS-Savage questions,FF_4_a,15,59,similarity,1,silent
iOS-Savage questions,FF_4_a,11,61,trust,1,silent
iOS-Savage questions,FF_4_b,3,1,closeness,1,silent
iOS-Savage questions,FF_4_b,7,51,connection,1,silent
iOS-Savage questions,FF_4_b,11,51,like,1,silent
iOS-Savage questions,FF_4_b,17,51,similarity,1,silent
iOS-Savage questions,FF_4_b,14,59,trust,1,silent
iOS-Savage questions (EN),FF_5_a,15,3,closeness,1,mus
iOS-Savage questions (EN),FF_5_a,8,78,connection,1,mus
iOS-Savage questions (EN),FF_5_a,14,51,like,1,mus
iOS-Savage questions (EN),FF_5_a,11,87,similarity,1,mus
iOS-Savage questions (EN),FF_5_a,5,70,trust,1,mus
iOS-Savage questions (EN),FF_5_b,14,2,closeness,1,mus
iOS-Savage questions (EN),FF_5_b,13,50,connection,1,mus
iOS-Savage questions (EN),FF_5_b,6,50,like,1,mus
iOS-Savage questions (EN),FF_5_b,17,49,similarity,1,mus
iOS-Savage questions (EN),FF_5_b,10,50,trust,1,mus
iOS-Savage questions,FF_6_a,9,2,closeness,1,isot
iOS-Savage questions,FF_6_a,5,20,connection,1,isot
iOS-Savage questions,FF_6_a,13,48,like,1,isot
iOS-Savage questions,FF_6_a,16,50,similarity,1,isot
iOS-Savage questions,FF_6_a,8,3,trust,1,isot
iOS-Savage questions,FF_6_b,6,2,closeness,1,isot
iOS-Savage questions,FF_6_b,10,53,connection,1,isot
iOS-Savage questions,FF_6_b,16,54,like,1,isot
iOS-Savage questions,FF_6_b,5,58,similarity,1,isot
iOS-Savage questions,FF_6_b,13,54,trust,1,isot
iOS-Savage questions,FF_7_a,6,1,closeness,1,isot
iOS-Savage questions,FF_7_a,9,56,connection,1,isot
iOS-Savage questions,FF_7_a,5,100,like,1,isot
iOS-Savage questions,FF_7_a,13,50,similarity,1,isot
iOS-Savage questions,FF_7_a,16,50,trust,1,isot
iOS-Savage questions,FF_7_b,4,2,closeness,1,isot
iOS-Savage questions,FF_7_b,16,46,connection,1,isot
iOS-Savage questions,FF_7_b,13,63,like,1,isot
iOS-Savage questions,FF_7_b,10,54,similarity,1,isot
iOS-Savage questions,FF_7_b,7,56,trust,1,isot
iOS-Savage questions,FF_8_a,10,2,closeness,1,mus
iOS-Savage questions,FF_8_a,16,54,connection,1,mus
iOS-Savage questions,FF_8_a,9,55,like,1,mus
iOS-Savage questions,FF_8_a,6,45,similarity,1,mus
iOS-Savage questions,FF_8_a,13,55,trust,1,mus
iOS-Savage questions,FF_8_b,3,1,closeness,1,mus
iOS-Savage questions,FF_8_b,6,40,connection,1,mus
iOS-Savage questions,FF_8_b,16,50,like,1,mus
iOS-Savage questions,FF_8_b,9,42,similarity,1,mus
iOS-Savage questions,FF_8_b,12,62,trust,1,mus
iOS-Savage questions,FF_9_a,16,2,closeness,1,silent
iOS-Savage questions,FF_9_a,15,52,connection,1,silent
iOS-Savage questions,FF_9_a,11,60,like,1,silent
iOS-Savage questions,FF_9_a,5,62,similarity,1,silent
iOS-Savage questions,FF_9_a,8,68,trust,1,silent
iOS-Savage questions,FF_9_b,9,1,closeness,1,silent
iOS-Savage questions,FF_9_b,5,52,connection,1,silent
iOS-Savage questions,FF_9_b,8,52,like,1,silent
iOS-Savage questions,FF_9_b,12,5,similarity,1,silent
iOS-Savage questions,FF_9_b,15,49,trust,1,silent
iOS-Savage questions,FM_10_a,12,1,closeness,1,isot
iOS-Savage questions,FM_10_a,15,52,connection,1,isot
iOS-Savage questions,FM_10_a,5,72,like,1,isot
iOS-Savage questions,FM_10_a,11,40,similarity,1,isot
iOS-Savage questions,FM_10_a,8,55,trust,1,isot
iOS-Savage questions,FM_10_b,3,1,closeness,1,isot
iOS-Savage questions,FM_10_b,12,56,connection,1,isot
iOS-Savage questions,FM_10_b,6,65,like,1,isot
iOS-Savage questions,FM_10_b,15,34,similarity,1,isot
iOS-Savage questions,FM_10_b,9,63,trust,1,isot
iOS-Savage questions,FM_11_a,13,1,closeness,1,silent
iOS-Savage questions,FM_11_a,5,56,connection,1,silent
iOS-Savage questions,FM_11_a,9,52,like,1,silent
iOS-Savage questions,FM_11_a,16,50,similarity,1,silent
iOS-Savage questions,FM_11_a,12,53,trust,1,silent
iOS-Savage questions,FM_11_b,3,2,closeness,1,silent
iOS-Savage questions,FM_11_b,17,46,connection,1,silent
iOS-Savage questions,FM_11_b,12,54,like,1,silent
iOS-Savage questions,FM_11_b,9,10,similarity,1,silent
iOS-Savage questions,FM_11_b,6,8,trust,1,silent
iOS-Savage questions,FM_12_a,9,1,closeness,1,isot
iOS-Savage questions,FM_12_a,16,1,connection,1,isot
iOS-Savage questions,FM_12_a,13,43,like,1,isot
iOS-Savage questions,FM_12_a,5,0,similarity,1,isot
iOS-Savage questions,FM_12_a,8,7,trust,1,isot
iOS-Savage questions,FM_12_b,10,2,closeness,1,isot
iOS-Savage questions,FM_12_b,13,40,connection,1,isot
iOS-Savage questions,FM_12_b,16,77,like,1,isot
iOS-Savage questions,FM_12_b,9,60,similarity,1,isot
iOS-Savage questions,FM_12_b,5,29,trust,1,isot
iOS-Savage questions,FM_13_a,13,2,closeness,1,mus
iOS-Savage questions,FM_13_a,12,48,connection,1,mus
iOS-Savage questions,FM_13_a,8,53,like,1,mus
iOS-Savage questions,FM_13_a,16,48,similarity,1,mus
iOS-Savage questions,FM_13_a,5,53,trust,1,mus
iOS-Savage questions,FM_13_b,3,3,closeness,1,mus
iOS-Savage questions,FM_13_b,15,57,connection,1,mus
iOS-Savage questions,FM_13_b,9,55,like,1,mus
iOS-Savage questions,FM_13_b,12,59,similarity,1,mus
iOS-Savage questions,FM_13_b,6,49,trust,1,mus
iOS-Savage questions,FM_14_a,10,1,closeness,1,silent
iOS-Savage questions,FM_14_a,13,52,connection,1,silent
iOS-Savage questions,FM_14_a,9,51,like,1,silent
iOS-Savage questions,FM_14_a,5,47,similarity,1,silent
iOS-Savage questions,FM_14_a,17,29,trust,1,silent
iOS-Savage questions,FM_14_b,9,3,closeness,1,silent
iOS-Savage questions,FM_14_b,16,48,connection,1,silent
iOS-Savage questions,FM_14_b,12,68,like,1,silent
iOS-Savage questions,FM_14_b,5,34,similarity,1,silent
iOS-Savage questions,FM_14_b,8,66,trust,1,silent
iOS-Savage questions,FM_15_a,9,3,closeness,1,silent
iOS-Savage questions,FM_15_a,8,83,connection,1,silent
iOS-Savage questions,FM_15_a,12,66,like,1,silent
iOS-Savage questions,FM_15_a,17,59,similarity,1,silent
iOS-Savage questions,FM_15_a,5,75,trust,1,silent
iOS-Savage questions,FM_15_b,3,3,closeness,1,silent
iOS-Savage questions,FM_15_b,10,48,connection,1,silent
iOS-Savage questions,FM_15_b,16,56,like,1,silent
iOS-Savage questions,FM_15_b,7,39,similarity,1,silent
iOS-Savage questions,FM_15_b,13,59,trust,1,silent
iOS-Savage questions,FM_17_a,16,2,closeness,1,mus
iOS-Savage questions,FM_17_a,15,60,connection,1,mus
iOS-Savage questions,FM_17_a,6,64,like,1,mus
iOS-Savage questions,FM_17_a,9,45,similarity,1,mus
iOS-Savage questions,FM_17_a,12,59,trust,1,mus
iOS-Savage questions,FM_17_b,15,1,closeness,1,mus
iOS-Savage questions,FM_17_b,14,67,connection,1,mus
iOS-Savage questions,FM_17_b,5,82,like,1,mus
iOS-Savage questions,FM_17_b,11,53,similarity,1,mus
